cntry,essround,hinctnta,gndr,gndr2,agea,eisced,domicil,edulvlb,pdwrk,hhmmb,health,happy,dscrrce,dscrgrp,mnactic
BE,10,7.0,1,2,58.0,6.0,4,610.0,0,2.0,2,8.0,0,2,5.0
BE,10,7.0,1,6,35.0,4.0,1,323.0,1,1.0,1,10.0,0,2,1.0
BE,10,6.0,1,6,61.0,7.0,2,800.0,1,1.0,1,7.0,0,2,1.0
BE,10,6.0,2,1,46.0,5.0,1,510.0,1,5.0,2,6.0,0,2,1.0
BE,10,9.0,2,6,70.0,3.0,4,321.0,0,1.0,4,3.0,0,2,6.0
BE,10,9.0,1,2,54.0,7.0,3,710.0,1,3.0,2,7.0,0,2,1.0
BE,10,5.0,1,1,22.0,4.0,4,313.0,1,2.0,2,9.0,0,2,1.0
BE,10,5.0,1,2,83.0,4.0,4,323.0,0,2.0,3,8.0,0,2,6.0
BE,10,9.0,1,2,64.0,6.0,5,610.0,0,2.0,2,8.0,0,2,6.0
BE,10,5.0,2,1,17.0,2.0,3,213.0,0,5.0,2,8.0,0,2,9.0
BE,10,3.0,1,6,62.0,2.0,2,222.0,1,1.0,2,8.0,0,2,1.0
BE,10,7.0,1,1,20.0,6.0,4,610.0,0,5.0,1,9.0,0,2,2.0
BE,10,4.0,1,2,43.0,4.0,3,323.0,1,4.0,2,6.0,0,1,1.0
BE,10,10.0,2,1,33.0,7.0,4,720.0,1,4.0,1,9.0,0,2,1.0
BE,10,8.0,1,1,21.0,5.0,4,423.0,1,5.0,1,9.0,0,2,1.0
BE,10,9.0,1,2,33.0,6.0,4,610.0,0,3.0,2,9.0,0,2,9.0
BE,10,1.0,1,2,64.0,1.0,1,0.0,1,4.0,2,9.0,0,2,4.0
BE,10,6.0,2,1,50.0,7.0,4,720.0,1,4.0,4,8.0,0,2,1.0
BE,10,7.0,1,2,48.0,4.0,4,313.0,0,3.0,2,8.0,0,2,9.0
BE,10,6.0,2,1,80.0,6.0,3,610.0,0,2.0,2,8.0,0,2,6.0
BE,10,7.0,2,1,35.0,7.0,4,720.0,1,4.0,2,8.0,0,2,1.0
BE,10,6.0,1,6,64.0,7.0,3,720.0,1,1.0,1,8.0,0,2,1.0
BE,10,4.0,1,2,83.0,5.0,4,423.0,1,2.0,3,7.0,0,2,1.0
BE,10,10.0,2,1,25.0,4.0,2,313.0,0,5.0,1,6.0,0,2,2.0
BE,10,5.0,1,2,51.0,5.0,3,421.0,1,2.0,2,7.0,0,2,1.0
BE,10,8.0,2,1,44.0,7.0,3,710.0,1,4.0,2,9.0,0,2,1.0
BE,10,9.0,2,1,44.0,7.0,4,720.0,1,5.0,2,9.0,0,2,8.0
BE,10,10.0,1,2,56.0,6.0,4,610.0,1,5.0,1,8.0,0,2,1.0
BE,10,1.0,2,1,53.0,7.0,3,720.0,0,2.0,3,8.0,0,2,5.0
BE,10,9.0,2,1,42.0,6.0,3,610.0,1,3.0,2,8.0,0,2,1.0
BE,10,3.0,1,6,67.0,2.0,5,222.0,0,1.0,3,9.0,0,2,6.0
BE,10,10.0,2,2,25.0,7.0,3,720.0,1,5.0,2,7.0,0,2,1.0
BE,10,5.0,2,1,78.0,4.0,4,313.0,0,2.0,4,6.0,0,2,6.0
BE,10,7.0,1,2,54.0,4.0,4,323.0,1,5.0,2,10.0,0,2,1.0
BE,10,6.0,1,2,68.0,4.0,2,313.0,1,3.0,1,9.0,0,2,1.0
BE,10,10.0,1,2,26.0,7.0,4,720.0,1,4.0,1,10.0,0,2,1.0
BE,10,3.0,2,6,75.0,3.0,4,321.0,0,1.0,4,1.0,0,2,6.0
BE,10,10.0,1,2,37.0,7.0,2,720.0,1,4.0,1,10.0,0,2,1.0
BE,10,5.0,1,2,59.0,6.0,4,610.0,1,2.0,3,8.0,0,2,1.0
BE,10,3.0,1,2,32.0,5.0,4,421.0,1,3.0,1,10.0,0,2,1.0
BE,10,8.0,1,2,50.0,6.0,3,610.0,1,4.0,2,8.0,0,2,1.0
BE,10,6.0,1,2,80.0,4.0,2,323.0,0,2.0,2,8.0,0,2,6.0
BE,10,2.0,2,6,39.0,7.0,1,720.0,1,1.0,4,5.0,0,2,1.0
BE,10,7.0,1,1,43.0,7.0,1,720.0,0,2.0,2,6.0,0,1,5.0
BE,10,6.0,1,2,32.0,4.0,1,323.0,1,3.0,2,8.0,0,2,1.0
BE,10,9.0,1,2,40.0,7.0,3,800.0,1,4.0,1,9.0,0,2,1.0
BE,10,10.0,1,2,57.0,7.0,4,720.0,1,4.0,2,8.0,0,2,1.0
BE,10,4.0,1,2,76.0,6.0,4,610.0,0,2.0,3,8.0,0,2,6.0
BE,10,8.0,2,1,29.0,6.0,4,610.0,0,3.0,2,8.0,0,2,8.0
