id,gen,varsta,educatie,regiune,mediu,salariu_lunar_net_lei,promovat
1,F,28,Profesional,Centru,Urban,4063.0,Da
2,F,31,Facultate,Nord-Vest,Urban,5153.0,Nu
3,M,36,Gimnaziu,Bucuresti-Ilfov,Urban,6495.0,Da
4,F,45,Liceu,Vest,Rural,3916.0,Nu
5,F,33,Facultate,Centru,Rural,4064.0,Nu
6,M,56,Profesional,Nord-Vest,Rural,4966.0,Nu
7,F,64,Profesional,Sud-Muntenia,Rural,4341.0,Nu
8,M,37,Facultate,Sud-Muntenia,Rural,5410.0,Da
9,M,22,Postliceal,Nord-Vest,Urban,4516.0,Da
10,M,55,Liceu,Sud-Vest Oltenia,Urban,3727.0,Da
11,F,54,Gimnaziu,Bucuresti-Ilfov,Urban,5448.0,Nu
12,F,36,Liceu,Centru,Rural,4375.0,Nu
13,F,58,Facultate,Sud-Muntenia,Urban,5361.0,Da
14,M,35,Facultate,Sud-Muntenia,Urban,5884.0,Da
15,F,67,Postliceal,Bucuresti-Ilfov,Rural,4974.0,Da
16,F,66,Liceu,Sud-Vest Oltenia,Urban,4532.0,Nu
17,M,22,Gimnaziu,Nord-Vest,Urban,3645.0,Da
18,F,56,Masterat,Nord-Est,Rural,5440.0,Nu
19,M,18,Liceu,Bucuresti-Ilfov,Rural,3918.0,Nu
20,M,19,Gimnaziu,Sud-Est,Rural,2808.0,Da
21,F,52,Liceu,Centru,Urban,4085.0,Nu
22,F,42,Primar,Sud-Vest Oltenia,Urban,3295.0,Nu
23,F,47,Liceu,Nord-Vest,Rural,4237.0,Da
24,M,42,Liceu,Bucuresti-Ilfov,Rural,5654.0,Nu
25,F,33,Liceu,Nord-Est,Urban,3039.0,Nu
26,M,28,Facultate,Nord-Vest,Urban,5057.0,Da
27,F,44,Masterat,Nord-Est,Rural,4140.0,Nu
28,F,44,Liceu,Nord-Vest,Urban,4212.0,Nu
29,F,53,Liceu,Bucuresti-Ilfov,Urban,5757.0,Nu
30,M,39,Profesional,Bucuresti-Ilfov,Rural,4448.0,Nu
31,M,41,Liceu,Nord-Vest,Rural,,Da
32,M,31,Postliceal,Sud-Est,Urban,5300.0,Da
33,M,20,Facultate,Nord-Est,Rural,3098.0,Da
34,F,34,Profesional,Vest,Urban,5911.0,Nu
35,F,45,Gimnaziu,Nord-Est,Urban,4084.0,Nu
36,F,39,Profesional,Sud-Muntenia,Rural,2319.0,Nu
37,M,44,Primar,Centru,Urban,3499.0,Nu
38,F,46,Profesional,Sud-Vest Oltenia,Urban,4041.0,Da
39,F,43,Postliceal,Bucuresti-Ilfov,Urban,5238.0,Nu
40,F,52,Facultate,Vest,Urban,6506.0,Da
41,M,38,Facultate,Vest,Urban,6493.0,Da
42,F,49,Liceu,Sud-Muntenia,Rural,3101.0,Nu
43,F,45,Liceu,Bucuresti-Ilfov,Urban,5141.0,Nu
44,F,57,Liceu,Sud-Muntenia,Urban,4383.0,Da
45,F,43,Facultate,Bucuresti-Ilfov,Urban,6104.0,Da
46,F,25,Liceu,Vest,Urban,3601.0,Nu
47,M,40,Facultate,Nord-Est,Urban,5991.0,Da
48,M,54,Liceu,Sud-Muntenia,Urban,5081.0,Nu
49,M,64,Facultate,Nord-Est,Rural,4935.0,Da
50,F,34,Doctorat,Sud-Muntenia,Rural,5280.0,Nu
51,F,57,Postliceal,Sud-Est,Rural,4721.0,Nu
52,M,63,Profesional,Bucuresti-Ilfov,Urban,5879.0,Da
53,F,58,Primar,Centru,Urban,3376.0,Nu
54,F,48,Gimnaziu,Nord-Est,Urban,3171.0,Nu
55,F,48,,Centru,Rural,4433.0,Nu
56,M,35,Postliceal,Centru,Urban,5678.0,Da
57,M,27,Facultate,Nord-Est,Rural,3737.0,Da
58,F,37,Gimnaziu,Sud-Est,Urban,2975.0,Nu
59,F,27,Liceu,Bucuresti-Ilfov,Urban,5444.0,Nu
60,M,40,Liceu,Nord-Est,Urban,4436.0,Nu
61,M,51,Facultate,Nord-Vest,Rural,6695.0,Nu
62,M,55,Liceu,Nord-Vest,Urban,4739.0,Nu
63,M,28,Facultate,Bucuresti-Ilfov,Urban,5851.0,Da
64,F,25,Profesional,Bucuresti-Ilfov,Rural,4402.0,Da
65,M,58,Facultate,Bucuresti-Ilfov,Urban,8317.0,Nu
66,M,37,Liceu,Nord-Vest,Urban,5145.0,Da
67,F,39,Gimnaziu,Nord-Vest,Rural,3965.0,Nu
68,M,62,Facultate,Sud-Est,Urban,7059.0,Nu
69,F,49,Liceu,Bucuresti-Ilfov,Urban,6118.0,Nu
70,F,30,Postliceal,Nord-Vest,Rural,,Nu
71,M,65,Liceu,Nord-Est,Rural,3929.0,Nu
72,F,48,Gimnaziu,Sud-Muntenia,Rural,3671.0,Da
73,F,34,Gimnaziu,Nord-Vest,Urban,3284.0,Da
74,F,55,Gimnaziu,Sud-Muntenia,Rural,2972.0,Nu
75,F,40,Primar,Nord-Est,Rural,2450.0,Nu
76,M,47,Gimnaziu,Bucuresti-Ilfov,Urban,7039.0,Nu
77,F,47,Gimnaziu,Centru,Urban,3979.0,Da
78,F,54,Primar,Centru,Rural,2988.0,Nu
79,M,48,Postliceal,Sud-Est,Rural,3382.0,Da
80,M,32,Facultate,Nord-Vest,Rural,4606.0,Da
81,F,59,Masterat,Sud-Est,Rural,5395.0,Da
82,M,39,Masterat,Vest,Urban,8091.0,Da
83,M,42,Facultate,Nord-Vest,Urban,6613.0,Da
84,M,36,Liceu,Bucuresti-Ilfov,Urban,4517.0,Nu
85,F,48,Facultate,Bucuresti-Ilfov,Urban,7257.0,Nu
86,F,40,Doctorat,Sud-Est,Urban,6701.0,Da
87,F,34,Masterat,Nord-Vest,Rural,5265.0,Nu
88,M,48,Liceu,Sud-Vest Oltenia,Rural,2949.0,Nu
89,M,24,Gimnaziu,Centru,Rural,3679.0,Nu
90,F,40,Liceu,Sud-Vest Oltenia,Urban,4303.0,Nu
91,M,29,Liceu,Vest,Urban,4952.0,Nu
92,M,18,Liceu,Bucuresti-Ilfov,Urban,4852.0,Nu
93,M,36,Liceu,Centru,Urban,5140.0,Da
94,F,65,Liceu,Nord-Est,Rural,3287.0,Nu
95,M,63,Profesional,Sud-Muntenia,Urban,4004.0,Da
96,M,45,Liceu,Sud-Muntenia,Urban,4268.0,Da
97,M,20,Facultate,Nord-Vest,Urban,6393.0,Nu
98,M,22,Liceu,Sud-Vest Oltenia,Urban,3462.0,Nu
99,M,49,Masterat,Centru,Urban,8170.0,Da
100,F,47,Profesional,Centru,Urban,5057.0,Nu
101,M,18,Facultate,Sud-Est,Rural,5192.0,Da
102,F,50,Primar,Bucuresti-Ilfov,Urban,5419.0,Nu
103,M,62,Masterat,Bucuresti-Ilfov,Rural,8255.0,Nu
104,F,39,Primar,Sud-Muntenia,Urban,3457.0,Nu
105,F,29,Gimnaziu,Bucuresti-Ilfov,Rural,2610.0,Nu
106,M,25,Profesional,Sud-Muntenia,Urban,3660.0,Nu
107,M,42,Liceu,Bucuresti-Ilfov,Rural,5126.0,Nu
108,M,34,Liceu,Nord-Vest,Urban,4312.0,Nu
109,M,33,Profesional,Nord-Est,Urban,4342.0,Da
110,F,62,Liceu,Sud-Est,Rural,3270.0,Nu
111,M,37,Facultate,Sud-Est,Urban,5706.0,Da
112,M,55,Liceu,Sud-Est,Urban,4770.0,Da
113,F,36,Liceu,Bucuresti-Ilfov,Urban,4846.0,Nu
114,M,44,Profesional,Centru,Rural,4311.0,Nu
115,M,67,Facultate,Bucuresti-Ilfov,Rural,6056.0,Nu
116,F,43,Masterat,Bucuresti-Ilfov,Rural,4931.0,Nu
117,F,33,Facultate,Centru,Urban,4652.0,Da
118,F,40,Primar,Sud-Muntenia,Urban,4118.0,Da
119,M,44,Gimnaziu,Nord-Vest,Rural,2882.0,Nu
120,M,34,Liceu,Vest,Urban,4507.0,Da
121,M,61,Liceu,Sud-Vest Oltenia,Urban,4683.0,Da
122,M,36,Facultate,Nord-Est,Urban,4162.0,Da
123,F,37,Postliceal,Bucuresti-Ilfov,Rural,4682.0,Da
124,M,56,Facultate,Sud-Muntenia,Rural,6402.0,Nu
125,M,43,Gimnaziu,Nord-Est,Urban,3275.0,Nu
126,M,18,Liceu,Nord-Est,Urban,4601.0,Da
127,F,43,Liceu,Vest,Urban,4291.0,Nu
128,F,48,Facultate,Sud-Est,Rural,4713.0,Nu
129,F,42,Profesional,Sud-Est,Rural,3163.0,Nu
130,M,30,Profesional,Nord-Est,Urban,3773.0,Da
131,F,42,Masterat,Nord-Est,Urban,6001.0,Da
132,F,50,Profesional,Bucuresti-Ilfov,Urban,5532.0,Nu
133,M,44,Liceu,Sud-Est,Rural,4304.0,Nu
134,M,55,Liceu,Sud-Vest Oltenia,Rural,3384.0,Da
135,M,35,Liceu,Nord-Vest,Rural,3184.0,Nu
136,F,46,Profesional,Sud-Muntenia,Urban,4062.0,Nu
137,M,18,Facultate,Bucuresti-Ilfov,Rural,6373.0,Nu
138,F,43,Liceu,Bucuresti-Ilfov,Rural,,Da
139,F,27,Gimnaziu,Bucuresti-Ilfov,Urban,4677.0,Nu
140,F,55,Masterat,Nord-Vest,Rural,4250.0,Nu
141,M,44,Liceu,Nord-Est,Rural,3298.0,Nu
142,F,19,Facultate,Sud-Vest Oltenia,Urban,4267.0,Da
143,F,32,Liceu,Nord-Vest,Urban,4986.0,Da
144,F,42,Facultate,Sud-Muntenia,Urban,5540.0,Da
145,M,30,Liceu,Nord-Est,Urban,3694.0,Nu
146,F,43,Doctorat,Nord-Est,Rural,6904.0,Da
147,M,32,Facultate,Sud-Muntenia,Urban,5351.0,Da
148,M,20,Facultate,Vest,Rural,5142.0,Da
149,M,30,Primar,Sud-Est,Urban,3621.0,Da
150,M,45,Facultate,Sud-Vest Oltenia,Urban,5119.0,Da
151,M,49,Postliceal,Nord-Vest,Urban,5481.0,Da
152,F,30,Gimnaziu,Sud-Vest Oltenia,Urban,2947.0,Nu
153,M,47,Liceu,Sud-Vest Oltenia,Urban,4530.0,Nu
154,F,29,Liceu,Centru,Urban,4498.0,Nu
155,M,39,Facultate,Nord-Est,Urban,6215.0,Da
156,M,33,Liceu,Sud-Est,Urban,3984.0,Da
157,M,57,Postliceal,Centru,Urban,4836.0,Nu
158,M,39,Facultate,Centru,Rural,3969.0,Nu
159,M,38,Gimnaziu,Nord-Est,Urban,3450.0,Nu
160,F,49,Masterat,Vest,Rural,6132.0,Da
161,F,44,Primar,Bucuresti-Ilfov,Urban,4713.0,Da
162,F,41,Gimnaziu,Nord-Vest,Rural,2200.0,Nu
163,F,53,Facultate,Sud-Est,Urban,6201.0,Nu
164,M,48,Profesional,Nord-Est,Urban,5156.0,Da
165,M,18,Facultate,Vest,Rural,5302.0,Nu
166,F,33,Liceu,Sud-Muntenia,Urban,3441.0,Nu
167,M,63,Facultate,Nord-Vest,Rural,5953.0,Nu
168,F,28,Facultate,Sud-Muntenia,Urban,5167.0,Nu
169,M,60,Liceu,Centru,Urban,5866.0,Da
170,M,41,Facultate,Sud-Muntenia,Urban,6054.0,Da
171,F,54,Profesional,Nord-Vest,Rural,2935.0,Da
172,M,47,Masterat,Nord-Vest,Urban,7961.0,Da
173,M,29,Profesional,Sud-Vest Oltenia,Urban,3722.0,Nu
174,F,42,Gimnaziu,Vest,Rural,2356.0,Da
175,F,53,Facultate,Sud-Vest Oltenia,Urban,4686.0,Nu
176,M,50,Profesional,Vest,Urban,5769.0,Da
177,M,52,Liceu,Sud-Muntenia,Urban,3637.0,Da
178,M,64,Masterat,Centru,Urban,7380.0,Da
179,M,55,Facultate,Nord-Est,Rural,4774.0,Da
180,F,40,Profesional,Sud-Muntenia,Urban,3678.0,Nu
181,F,26,Liceu,Bucuresti-Ilfov,Urban,4987.0,Nu
182,F,48,Liceu,Sud-Vest Oltenia,Urban,3801.0,Da
183,F,40,Facultate,Sud-Vest Oltenia,Rural,4889.0,Nu
184,M,39,Facultate,Nord-Vest,Rural,5297.0,Da
185,M,25,Masterat,Bucuresti-Ilfov,Urban,7906.0,Da
186,F,29,Gimnaziu,Bucuresti-Ilfov,Rural,4451.0,Nu
187,F,20,Liceu,Sud-Est,Urban,3448.0,Da
188,F,63,Liceu,Nord-Est,Urban,4457.0,Da
189,M,54,Facultate,Nord-Est,Urban,7986.0,Nu
190,M,40,Liceu,Nord-Vest,Rural,4402.0,Nu
191,M,30,Profesional,Bucuresti-Ilfov,Rural,3786.0,Da
192,F,37,Masterat,Sud-Est,Urban,6468.0,Da
193,F,51,Liceu,Sud-Muntenia,Rural,2897.0,Da
194,F,28,Masterat,Sud-Est,Urban,5696.0,Da
195,M,23,Postliceal,Nord-Est,Urban,2804.0,Da
196,F,26,Postliceal,Vest,Rural,4208.0,Nu
197,F,64,Profesional,Centru,Urban,4751.0,Nu
198,F,34,Facultate,Vest,Urban,5905.0,Da
199,F,49,Postliceal,Nord-Est,Urban,3962.0,Nu
200,F,29,Liceu,Vest,Urban,3767.0,Nu
201,F,41,Liceu,Bucuresti-Ilfov,Rural,5289.0,Nu
202,M,59,Profesional,Vest,Urban,3790.0,Da
203,F,24,Postliceal,Sud-Muntenia,Rural,4019.0,Nu
204,F,55,Liceu,Sud-Muntenia,Rural,3674.0,Nu
205,F,26,Profesional,Sud-Muntenia,Rural,,Nu
206,M,49,Facultate,Bucuresti-Ilfov,Rural,8376.0,Da
207,M,33,Postliceal,Bucuresti-Ilfov,Rural,5291.0,Nu
208,F,56,Liceu,Nord-Vest,Urban,4520.0,Nu
209,M,40,Facultate,Vest,Urban,6581.0,Nu
210,M,18,Facultate,Centru,Urban,,Da
211,M,36,Postliceal,Nord-Vest,Rural,4893.0,Nu
212,M,51,Masterat,Centru,Urban,8195.0,Nu
213,M,30,Liceu,Vest,Urban,4544.0,Da
214,F,46,Primar,Nord-Vest,Rural,2867.0,Nu
215,F,51,Gimnaziu,Bucuresti-Ilfov,Rural,4310.0,Da
216,F,41,Gimnaziu,Centru,Urban,4128.0,Nu
217,F,29,Liceu,Nord-Vest,Rural,3788.0,Nu
218,F,33,Gimnaziu,Sud-Vest Oltenia,Rural,2200.0,Nu
219,F,36,Gimnaziu,Centru,Urban,2831.0,Nu
220,F,67,Liceu,Sud-Vest Oltenia,Rural,3441.0,Da
221,F,49,Masterat,Nord-Est,Urban,5663.0,Da
222,M,31,Liceu,Nord-Est,Urban,3704.0,Da
223,M,40,Gimnaziu,Nord-Est,Urban,4253.0,Nu
224,M,28,Facultate,Sud-Muntenia,Rural,3638.0,Da
225,F,67,Postliceal,Vest,Urban,5640.0,Nu
226,F,50,Gimnaziu,Vest,Urban,3024.0,Nu
227,F,35,Postliceal,Vest,Rural,3939.0,Nu
228,M,50,Postliceal,Nord-Est,Urban,4531.0,Da
229,M,67,Primar,Vest,Rural,3989.0,Nu
230,M,34,Masterat,Bucuresti-Ilfov,Rural,7085.0,Nu
231,M,41,Primar,Sud-Muntenia,Urban,3027.0,Nu
232,F,41,Facultate,Centru,Urban,6296.0,Da
233,F,33,Doctorat,Bucuresti-Ilfov,Urban,7846.0,Nu
234,M,37,Primar,Bucuresti-Ilfov,Rural,4685.0,Da
235,F,41,Facultate,Sud-Vest Oltenia,Rural,4525.0,Nu
236,M,45,,Vest,Urban,7723.0,Nu
237,F,45,Facultate,Sud-Muntenia,Urban,4989.0,Da
238,F,41,Facultate,Vest,Urban,6100.0,Nu
239,M,19,Facultate,Nord-Vest,Urban,6746.0,Nu
240,M,43,Facultate,Nord-Vest,Rural,5633.0,Da
241,M,42,Liceu,Nord-Est,Urban,4890.0,Nu
242,F,30,Profesional,Sud-Muntenia,Rural,3179.0,Nu
243,M,37,Liceu,Sud-Est,Rural,2200.0,Nu
244,M,59,Liceu,Sud-Muntenia,Rural,3688.0,Nu
245,M,36,Profesional,Sud-Vest Oltenia,Urban,4755.0,Da
246,F,51,Liceu,Bucuresti-Ilfov,Rural,4799.0,Nu
247,F,40,Gimnaziu,Sud-Muntenia,Urban,2801.0,Da
248,M,49,Profesional,Sud-Vest Oltenia,Urban,4923.0,Nu
249,F,51,Masterat,Centru,Rural,6617.0,Nu
250,M,50,Liceu,Nord-Est,Rural,3270.0,Nu
251,F,38,Facultate,Sud-Muntenia,Urban,4604.0,Nu
252,F,33,Profesional,Sud-Vest Oltenia,Rural,2796.0,Da
253,M,27,Facultate,Bucuresti-Ilfov,Rural,5930.0,Nu
254,M,43,Profesional,Sud-Vest Oltenia,Urban,3385.0,Da
255,M,25,Postliceal,Sud-Muntenia,Urban,4220.0,Da
256,F,54,Facultate,Vest,Rural,4625.0,Nu
257,F,37,Facultate,Nord-Vest,Urban,4405.0,Nu
258,M,32,Facultate,Sud-Muntenia,Rural,4308.0,Nu
259,F,18,Doctorat,Sud-Muntenia,Urban,6884.0,Nu
260,M,24,Primar,Nord-Vest,Rural,,Da
261,M,28,Liceu,Nord-Est,Rural,3113.0,Nu
262,M,45,,Vest,Urban,4625.0,Da
263,F,25,Gimnaziu,Vest,Rural,3744.0,Da
264,M,38,Masterat,Sud-Muntenia,Urban,7678.0,Nu
265,F,37,Masterat,Sud-Muntenia,Urban,6355.0,Da
266,F,31,Liceu,Bucuresti-Ilfov,Urban,5981.0,Da
267,F,39,,Centru,Rural,3497.0,Nu
268,M,46,Liceu,Nord-Est,Urban,,Da
269,F,24,Masterat,Sud-Est,Urban,,Nu
270,F,53,Liceu,Nord-Vest,Urban,4673.0,Nu
271,M,59,Postliceal,Nord-Est,Urban,4885.0,Da
272,M,33,Facultate,Centru,Rural,5584.0,Da
273,F,42,Liceu,Bucuresti-Ilfov,Urban,5621.0,Da
274,M,34,Liceu,Nord-Vest,Urban,3952.0,Nu
275,F,52,Postliceal,Centru,Rural,4669.0,Nu
276,M,36,Liceu,Sud-Muntenia,Rural,4113.0,Da
277,F,19,Doctorat,Centru,Urban,7529.0,Da
278,M,25,,Nord-Vest,Urban,6328.0,Nu
279,F,31,Gimnaziu,Centru,Rural,3788.0,Da
280,M,38,Liceu,Sud-Muntenia,Urban,4385.0,Nu
281,F,66,Liceu,Sud-Vest Oltenia,Rural,3986.0,Da
282,F,48,Gimnaziu,Vest,Urban,4614.0,Nu
283,M,51,Liceu,Sud-Est,Rural,4270.0,Nu
284,F,41,Liceu,Nord-Est,Urban,4074.0,Da
285,M,31,Liceu,Nord-Vest,Rural,3980.0,Nu
286,F,62,Postliceal,Nord-Est,Urban,4717.0,Da
287,F,33,Primar,Sud-Muntenia,Urban,2662.0,Nu
288,F,29,Masterat,Sud-Est,Urban,7025.0,Nu
289,M,38,Liceu,Sud-Est,Urban,3797.0,Da
290,F,35,Profesional,Sud-Vest Oltenia,Rural,,Da
291,F,41,Profesional,Centru,Rural,4065.0,Da
292,F,63,Facultate,Bucuresti-Ilfov,Rural,5699.0,Da
293,M,30,Facultate,Nord-Est,Urban,5327.0,Da
294,M,51,Doctorat,Sud-Est,Urban,7768.0,Da
295,F,47,Facultate,Sud-Muntenia,Rural,4660.0,Nu
296,M,30,Gimnaziu,Nord-Vest,Rural,3208.0,Da
297,F,42,Postliceal,Bucuresti-Ilfov,Rural,4576.0,Nu
298,M,56,Liceu,Nord-Vest,Urban,4555.0,Da
299,M,49,Liceu,Bucuresti-Ilfov,Urban,7341.0,Da
300,F,38,Facultate,Sud-Muntenia,Urban,4843.0,Nu
301,M,27,Masterat,Vest,Urban,7615.0,Nu
302,M,28,Profesional,Vest,Rural,4406.0,Nu
303,M,44,Facultate,Bucuresti-Ilfov,Urban,7859.0,Da
304,M,52,Facultate,Centru,Urban,7068.0,Nu
305,F,45,Facultate,Vest,Rural,4754.0,Da
306,M,36,Facultate,Nord-Vest,Urban,6966.0,Da
307,M,34,Facultate,Bucuresti-Ilfov,Urban,8241.0,Da
308,M,45,Facultate,Nord-Est,Rural,4589.0,Nu
309,M,42,Facultate,Centru,Rural,5083.0,Nu
310,F,35,Facultate,Nord-Vest,Rural,5167.0,Nu
311,M,37,Liceu,Centru,Rural,4228.0,Da
312,M,50,Liceu,Vest,Rural,4420.0,Nu
313,F,28,Liceu,Centru,Rural,2200.0,Nu
314,M,59,Postliceal,Vest,Urban,5744.0,Nu
315,F,25,Liceu,Sud-Vest Oltenia,Urban,2491.0,Nu
316,F,67,Masterat,Sud-Muntenia,Urban,6519.0,Da
317,M,23,Masterat,Nord-Est,Urban,6521.0,Da
318,F,45,Masterat,Sud-Muntenia,Urban,5769.0,Da
319,F,50,Facultate,Vest,Rural,5784.0,Nu
320,M,60,Postliceal,Sud-Est,Rural,4389.0,Nu
321,M,53,Primar,Sud-Est,Rural,3001.0,Da
322,F,56,Facultate,Sud-Est,Urban,5750.0,Nu
323,F,23,Profesional,Sud-Muntenia,Urban,3947.0,Da
324,F,34,Liceu,Nord-Est,Rural,2200.0,Nu
325,M,33,Profesional,Nord-Est,Rural,3101.0,Da
326,F,46,Primar,Nord-Est,Urban,2383.0,Nu
327,M,35,Profesional,Nord-Est,Urban,3222.0,Da
328,M,46,Masterat,Nord-Vest,Urban,6775.0,Da
329,M,47,Gimnaziu,Sud-Muntenia,Urban,4235.0,Nu
330,F,18,Liceu,Vest,Urban,3847.0,Da
331,M,43,Masterat,Nord-Vest,Urban,7402.0,Nu
332,M,41,Liceu,Nord-Est,Urban,3231.0,Nu
333,M,38,Facultate,Sud-Muntenia,Urban,6044.0,Da
334,M,36,Facultate,Bucuresti-Ilfov,Urban,7616.0,Nu
335,F,40,Profesional,Bucuresti-Ilfov,Urban,5450.0,Da
336,M,51,Liceu,Vest,Urban,5522.0,Nu
337,F,30,Profesional,Nord-Est,Urban,2614.0,Da
338,M,30,Gimnaziu,Centru,Rural,2715.0,Nu
339,F,44,Doctorat,Vest,Urban,7515.0,Da
340,F,38,Facultate,Centru,Rural,5905.0,Da
341,F,26,Facultate,Nord-Vest,Rural,4067.0,Nu
342,M,63,Facultate,Nord-Vest,Urban,7037.0,Da
343,M,40,Facultate,Nord-Est,Urban,5164.0,Nu
344,M,34,Primar,Nord-Est,Urban,3464.0,Nu
345,M,53,Liceu,Bucuresti-Ilfov,Rural,5764.0,Da
346,F,21,Liceu,Sud-Est,Urban,4523.0,Nu
347,F,55,Postliceal,Vest,Rural,5050.0,Nu
348,F,42,Facultate,Sud-Est,Urban,5096.0,Da
349,M,38,Gimnaziu,Sud-Muntenia,Rural,3177.0,Nu
350,F,33,Postliceal,Bucuresti-Ilfov,Urban,4964.0,Da
